Neighborhood,business_postal_code,Per_Capita_Income,Median_Household_income
Bayview/Hunter's Point,94124,19484.00,43151.00
Bernal Heights,94110,41317.00,85607.00
Castro/Upper Market,94114,67206.00,92237.00
Chinatown,94108,18573.00,17630.00
Excelsior,94134,23562.00,67405.00
Financial District/South Beach,94111,70997.00,
Haight Ashbury,94117,57953.00,85548.00
Inner Sunset,94122,39110.00,85696.00
Lakeshore,94132,32513.00,62917.00
Marina,94123,87353.00,102450.00
Mission,94110,37667.00,63623.00
Nob Hill,94109,46485.00,53283.00
Noe Valley,94114,62952.00,105797.00
North Beach,94133,57906.00,70056.00
Outer Mission,94112,32002.00,79477.00
Outer Richmond,94121,38038.00,72459.00
Pacific Heights,94115,101257.00,109307.00
Potrero Hill,94107,58650.00,98198.00
Presidio,94129,61881.00,
Presidio Heights,94118,74329.00,96542.00
Russian Hill,94133,75273.00,84537.00
San Francisco,94102,44373.00,70040.00
Seacliff,94121,87976.00,162903.00
South of Market,94103,50880.00,67584.00
Treasure Island,94130,25166.00,
Twin Peaks,94131,37345.00,
Visitacion Valley,94134,17651.00,44373.00
West of Twin Peaks,94127,58594.00,125027.00
Western Addition,94115,47111.00,53990.00
