business_name,Yelp_Score
AFC Sushi @ Safeway #1490,3
STARBUCKS COFFEE CO.,3.1
Zaida T. Rodriguez (ZTR) Annex Child Development Center,NaN
AVENUE FINE FOODS,4
Discount Grocers,4
MONROE ELEMENTARY SCHOOL,NaN
STARBUCKS COFFEE #545,3.5
FAIRMOUNT ELEMENTARY SCHOOL,NaN
NEIGHBORHOOD BAPTIST CHURCH,5
Rooftop Middle School,3.5
Juice Shop,4.5
Linda's Deli,NaN
GUADALUPE ELEMENTARY SCHOOL,3
Vino Rosso,4
FRIENDS LIQUOR,3
CALIF PACIFIC MEDICAL CTR - CART,3.5
OAK FAIR MARKET,4.5
CHEVRON #1760,3.5
Chevron #1539,3
Marcus Rios,5
